,0,1,2,3,4,5,6,7,8,name,dispointstrict,district,state,extraction_date
0,"<img src=""grosplan/PA/PA_0001-grosplan.png"" title=""?"" width=""100"">","<font class=""normal""><b>PA_01 [10 pts]</b>",Date de pose : 15/01/1998,"(<a href=""javascript:lienv(&quot;PA&quot;,&quot;11&quot;);"">Paris - 11ème arrondissement</a>)","Dernier état connu : <img src=""nav/spot_invader_destroyed.png"" class=""banniere"" width=""25""> Détruit !",Date et source : septembre 2018 (spott),"Instagram: <a href=""https://www.instagram.com/explore/tags/pa_01/"" target=""_blank"">hashtag #PA_01</a></font>","<img src=""images/PA/PA_0001-archive.jpg"" width=""300"">","<img src=""images/PA/PA_0001-avril2015.jpg"" width=""300"">",PA_01,10,Paris - 11ème arrondissement,Détruit !,2025-01-31
1,"<img src=""grosplan/PA/PA_0002-grosplan.png"" title=""---"" width=""100"">","<font class=""normal""><b>PA_02 [10 pts]</b>",Date de pose : 12/03/1998,"(<a href=""javascript:lienv(&quot;PA&quot;,&quot;04&quot;);"">Paris - 4ème arrondissement</a>)","Dernier état connu : <img src=""nav/spot_invader_ok.png"" class=""banniere"" width=""25""> OK",Date et source : juin 2019 (spott),"Instagram: <a href=""https://www.instagram.com/explore/tags/pa_02/"" target=""_blank"">hashtag #PA_02</a></font>","<div id=""image0""><a class=""chocolat-image"" href=""photos/PA/PA_0002-juin2019.jpg"" title=""PA_0002-juin2019""><img src=""images/PA/PA_0002-juin2019.jpg"" width=""300"" class=""imagelien""></a></div>",&nbsp;,PA_02,10,Paris - 4ème arrondissement,OK,2025-01-31
2,"<img src=""grosplan/PA/PA_0003-grosplan.png"" title=""NIQUE LA BAC.UP"" width=""100"">","<font class=""normal""><b>PA_03 [10 pts]</b>",Date de pose : 12/03/1998,"(<a href=""javascript:lienv(&quot;PA&quot;,&quot;05&quot;);"">Paris - 5ème arrondissement</a>)","Dernier état connu : <img src=""nav/spot_invader_ok.png"" class=""banniere"" width=""25""> OK",Date et source : octobre 2019 (report),"Instagram: <a href=""https://www.instagram.com/explore/tags/pa_03/"" target=""_blank"">hashtag #PA_03</a></font>","<div id=""image1""><a class=""chocolat-image"" href=""photos/PA/PA_0003-mars2019.jpg"" title=""PA_0003-mars2019""><img src=""images/PA/PA_0003-mars2019.jpg"" width=""300"" class=""imagelien""></a></div>",&nbsp;,PA_03,10,Paris - 5ème arrondissement,OK,2025-01-31
3,"<img src=""grosplan/PA/PA_0004-grosplan.png"" title=""---"" width=""100"">","<font class=""normal""><b>PA_04 [10 pts]</b>",Date de pose : 15/03/1998,"(<a href=""javascript:lienv(&quot;PA&quot;,&quot;05&quot;);"">Paris - 5ème arrondissement</a>)","Dernier état connu : <img src=""nav/spot_invader_degraded.png"" class=""banniere"" width=""25""> Dégradé",Date et source : mai 2022,"Instagram: <a href=""https://www.instagram.com/explore/tags/pa_04/"" target=""_blank"">hashtag #PA_04</a></font>","<div id=""image2""><a class=""chocolat-image"" href=""photos/PA/PA_0004-janvier2016.jpg"" title=""PA_0004-janvier2016""><img src=""images/PA/PA_0004-janvier2016.jpg"" width=""300"" class=""imagelien""></a></div>","<div id=""image3""><a class=""chocolat-image"" href=""photos/PA/PA_0004-fevrier2023.jpg"" title=""PA_0004-fevrier2023""><img src=""images/PA/PA_0004-fevrier2023.jpg"" width=""300"" class=""imagelien""></a></div>",PA_04,10,Paris - 5ème arrondissement,Dégradé,2025-01-31
4,"<img src=""grosplan/PA/PA_0005-grosplan.png"" title=""MADE IN 1998 !"" width=""100"">","<font class=""normal""><b>PA_05 [10 pts]</b>",Date de pose : 18/03/1998,"(<a href=""javascript:lienv(&quot;PA&quot;,&quot;06&quot;);"">Paris - 6ème arrondissement</a>)","Dernier état connu : <img src=""nav/spot_invader_degraded.png"" class=""banniere"" width=""25""> Dégradé",Date et source : novembre 2020 (Live FlashInvaders),"Instagram: <a href=""https://www.instagram.com/explore/tags/pa_05/"" target=""_blank"">hashtag #PA_05</a></font>","<div id=""image4""><a class=""chocolat-image"" href=""photos/PA/PA_0005-mars2015.jpg"" title=""PA_0005-mars2015""><img src=""images/PA/PA_0005-mars2015.jpg"" width=""300"" class=""imagelien""></a></div>","<img src=""images/PA/PA_0005-novembre2020.jpg"" width=""300"">",PA_05,10,Paris - 6ème arrondissement,Dégradé,2025-01-31
5,"<img src=""grosplan/PA/PA_0006-grosplan.png"" title=""---"" width=""100"">","<font class=""normal""><b>PA_06 [10 pts]</b>",Date de pose : 20/03/1998,"(<a href=""javascript:lienv(&quot;PA&quot;,&quot;06&quot;);"">Paris - 6ème arrondissement</a>)","Dernier état connu : <img src=""nav/spot_invader_destroyed.png"" class=""banniere"" width=""25""> Très dégradé",Date et source : juillet 2022,"Instagram: <a href=""https://www.instagram.com/explore/tags/pa_06/"" target=""_blank"">hashtag #PA_06</a></font>","<div id=""image5""><a class=""chocolat-image"" href=""photos/PA/PA_0006-octobre2018.jpg"" title=""PA_0006-octobre2018""><img src=""images/PA/PA_0006-octobre2018.jpg"" width=""300"" class=""imagelien""></a></div>","<div id=""image6""><a class=""chocolat-image"" href=""photos/PA/PA_0006-juillet2022.jpg"" title=""PA_0006-juillet2022""><img src=""images/PA/PA_0006-juillet2022.jpg"" width=""300"" class=""imagelien""></a></div>",PA_06,10,Paris - 6ème arrondissement,Très dégradé,2025-01-31
6,"<img src=""grosplan/PA/PA_0007-grosplan.png"" title=""---"" width=""100"">","<font class=""normal""><b>PA_07 [10 pts]</b>",Date de pose : 22/03/1998,"(<a href=""javascript:lienv(&quot;PA&quot;,&quot;10&quot;);"">Paris - 10ème arrondissement</a>)","Dernier état connu : <img src=""nav/spot_invader_ok.png"" class=""banniere"" width=""25""> OK",Date et source : juin 2018 (spott),"Instagram: <a href=""https://www.instagram.com/explore/tags/pa_07/"" target=""_blank"">hashtag #PA_07</a></font>","<div id=""image7""><a class=""chocolat-image"" href=""photos/PA/PA_0007-juin2018.jpg"" title=""PA_0007-juin2018""><img src=""images/PA/PA_0007-juin2018.jpg"" width=""300"" class=""imagelien""></a></div>",&nbsp;,PA_07,10,Paris - 10ème arrondissement,OK,2025-01-31
7,"<img src=""grosplan/PA/PA_0008-grosplan.png"" title=""---"" width=""100"">","<font class=""normal""><b>PA_08 [10 pts]</b>",Date de pose : 25/03/1998,"(<a href=""javascript:lienv(&quot;PA&quot;,&quot;20&quot;);"">Paris - 20ème arrondissement</a>)","Dernier état connu : <img src=""nav/spot_invader_destroyed.png"" class=""banniere"" width=""25""> Détruit !",Date et source : mars 2024 (report),"Instagram: <a href=""https://www.instagram.com/explore/tags/pa_08/"" target=""_blank"">hashtag #PA_08</a></font>","<div id=""image8""><a class=""chocolat-image"" href=""photos/PA/PA_0008-septembre2018.jpg"" title=""PA_0008-septembre2018""><img src=""images/PA/PA_0008-septembre2018.jpg"" width=""300"" class=""imagelien""></a></div>","<div id=""image9""><a class=""chocolat-image"" href=""photos/PA/PA_0008-mars2024.jpg"" title=""PA_0008-mars2024""><img src=""images/PA/PA_0008-mars2024.jpg"" width=""300"" class=""imagelien""></a></div>",PA_08,10,Paris - 20ème arrondissement,Détruit !,2025-01-31
8,"<img src=""grosplan/PA/PA_0009-grosplan.png"" title=""?"" width=""100"">","<font class=""normal""><b>PA_09 [10 pts]</b>",Date de pose : 05/04/1998,"(<a href=""javascript:lienv(&quot;PA&quot;,&quot;11&quot;);"">Paris - 11ème arrondissement</a>)","Dernier état connu : <img src=""nav/spot_invader_destroyed.png"" class=""banniere"" width=""25""> Détruit !",Date et source : octobre 2022,"Instagram: <a href=""https://www.instagram.com/explore/tags/pa_09/"" target=""_blank"">hashtag #PA_09</a></font>","<img src=""images/PA/PA_0009-archive.jpg"" width=""300"">","<div id=""image10""><a class=""chocolat-image"" href=""photos/PA/PA_0009-octobre2022.jpg"" title=""PA_0009-octobre2022""><img src=""images/PA/PA_0009-octobre2022.jpg"" width=""300"" class=""imagelien""></a></div>",PA_09,10,Paris - 11ème arrondissement,Détruit !,2025-01-31
9,"<img src=""grosplan/PA/PA_0010-grosplan.png"" title=""---"" width=""100"">","<font class=""normal""><b>PA_10 [10 pts]</b>",Date de pose : 05/04/1998,"(<a href=""javascript:lienv(&quot;PA&quot;,&quot;11&quot;);"">Paris - 11ème arrondissement</a>)","Dernier état connu : <img src=""nav/spot_invader_ok.png"" class=""banniere"" width=""25""> OK",Date et source : décembre 2018 (spott),"Instagram: <a href=""https://www.instagram.com/explore/tags/pa_10/"" target=""_blank"">hashtag #PA_10</a></font>","<div id=""image11""><a class=""chocolat-image"" href=""photos/PA/PA_0010-decembre2018.jpg"" title=""PA_0010-decembre2018""><img src=""images/PA/PA_0010-decembre2018.jpg"" width=""300"" class=""imagelien""></a></div>",&nbsp;,PA_10,10,Paris - 11ème arrondissement,OK,2025-01-31
